Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CHE,-1.80,-1.80,-1.70,-1.70,-1.70,-1.90,-2.00,-1.90,-1.90,-1.80,-2.00,-1.90
AUT,-1.30,-1.50,-1.50,-1.20,-1.40,-1.40,-1.60,-1.50,-1.60,-1.60,-1.70,-1.80
SWE,-2.10,-1.70,-1.70,-1.80,-1.80,-1.90,-1.80,-1.60,-1.60,-1.70,-1.70,-1.60
USA,-1.60,-1.50,-1.50,-1.50,-1.50,-1.40,-1.50,-1.50,-1.50,-1.50,-1.50,-1.50
JPN,-2.60,-2.70,-2.80,-2.80,-2.80,-2.90,-2.90,-2.90,-2.90,-3.00,-3.00,-3.00
POL,-1.30,-1.30,-1.40,-1.30,-1.40,-1.30,-1.40,-1.40,-1.50,-1.60,-1.50,-1.70
ITA,-1.90,-2.00,-2.00,-1.80,-2.00,-1.90,-2.10,-2.10,-2.10,-2.10,-2.10,-2.20
GRC,-0.40,-0.30,-0.20,0.10,0.10,0.10,0.20,0.40,0.40,0.30,0.50,0.40
KOR,-1.40,-1.50,-1.50,-1.50,-1.60,-1.70,-1.60,-1.90,-2.10,-2.20,-2.30,-2.30
SVK,-0.90,-1.10,-1.10,-1.10,-1.20,-1.20,-1.30,-1.20,-1.40,-1.20,-1.40,-1.10
NOR,-1.90,-2.00,-1.90,-2.00,-2.10,-2.10,-1.80,-2.00,-2.10,-1.80,-1.90,-1.80
DEU,-1.60,-1.40,-1.30,-1.20,-1.10,-1.10,-1.10,-1.10,-1.10,-1.10,-1.10,-1.10
BEL,-1.90,-1.90,-1.70,-1.60,-1.70,-1.70,-1.80,-1.80,-1.80,-1.90,-1.90,-2.00
CAN,-2.10,-1.90,-1.90,-1.90,-1.90,-1.90,-1.80,-1.90,-1.90,-1.80,-1.77,-1.73
MEX,-0.90,-0.90,-0.90,-0.90,-0.90,-0.90,-0.90,-0.90,-0.90,-0.90,-1.00,-0.90
GBR,-1.60,-1.60,-1.40,-1.40,-1.40,-1.40,-1.40,-1.30,-1.20,-1.50,-1.30,-1.40
CZE,-1.20,-1.10,-1.20,-1.00,-1.20,-1.00,-1.30,-1.20,-1.30,-1.40,-1.40,-1.40
EST,-1.50,-1.30,-1.10,-1.30,-1.30,-1.30,-1.60,-1.50,-1.70,-1.70,-2.00,-2.00
NLD,-1.90,-1.90,-1.80,-2.00,-1.90,-2.00,-1.80,-2.00,-1.80,-1.90,-1.80,-1.80
CHL,-2.00,-1.80,-2.20,-1.90,-1.70,-1.60,-1.80,-1.50,-1.50,-1.80,-1.90,-1.10
DNK,-1.80,-1.80,-1.60,-1.80,-1.90,-1.80,-1.80,-1.60,-1.70,-1.70,-1.60,-1.60
NZL,-1.80,-1.80,-1.70,-1.70,-1.60,-1.60,-1.50,-1.40,-1.30,-1.40,-1.20,-1.20
ESP,-1.70,-1.80,-1.70,-1.60,-1.80,-1.70,-1.80,-1.80,-1.70,-1.80,-2.00,-1.90
FIN,-1.70,-1.90,-1.60,-1.60,-1.80,-1.80,-2.00,-1.90,-1.70,-2.00,-1.90,-1.90
ISR,-0.40,-0.10,-0.30,-0.80,-1.00,-0.60,-0.50,-0.30,-0.80,-0.90,-0.90,-0.80
SVN,-1.60,-1.80,-1.90,-2.00,-1.80,-1.50,-1.70,-1.80,-1.90,-1.70,-2.00,-1.90
TUR,-0.40,-0.40,-0.50,-0.40,-0.40,-0.50,-0.40,-0.40,-0.40,-0.50,-0.50,-0.50
FRA,-2.20,-2.10,-2.00,-1.80,-2.20,-2.00,-2.30,-2.50,-2.40,-2.40,-2.60,-2.60
HUN,-1.10,-1.10,-1.10,-1.00,-1.00,-1.20,-1.20,-1.30,-1.30,-1.40,-1.10,-1.10
LUX,-2.60,-1.80,-2.20,-2.00,-2.50,-1.90,-1.30,-2.40,-2.00,-2.50,-2.60,-2.30
PRT,-1.40,-1.40,-1.30,-1.20,-1.40,-1.40,-1.50,-1.30,-1.40,-1.40,-1.50,-1.70
ISL,-1.00,-2.30,-1.10,-1.20,-2.50,-1.60,-1.70,-2.30,-0.90,-1.60,-2.20,-1.50
AUS,-1.80,-1.70,-1.80,-1.80,-1.80,-1.70,-1.70,-1.70,-1.70,-1.60,-1.60,-1.60
IRL,-1.60,-1.80,-1.80,-1.70,-1.80,-1.70,-1.90,-1.80,-1.90,-2.00,-1.80,-1.70
