Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
FIN,11.00,10.90,10.60,10.30,10.40,9.60,9.00,8.00,8.70,7.90,7.70,7.50
CAN,7.70,7.00,6.90,6.90,6.60,6.60,6.50,6.00,6.00,5.80,5.59,5.38
POL,19.40,18.80,18.30,17.70,17.20,16.10,15.90,15.80,15.40,14.50,14.20,13.70
ISR,11.00,11.10,11.40,11.00,9.40,10.00,9.60,9.50,8.90,9.50,8.90,8.69
ISL,15.10,11.10,10.10,9.40,12.90,13.10,7.90,8.10,6.40,6.00,4.99,3.98
EST,26.60,24.00,25.00,24.40,24.50,21.80,25.80,22.60,19.50,20.20,19.30,19.00
ESP,14.40,14.20,13.10,13.00,12.50,12.00,11.80,11.50,11.10,11.00,11.10,10.10
KOR,43.90,42.50,42.80,41.40,37.50,35.70,33.90,32.20,30.20,28.50,27.20,25.50
BEL,8.55,8.27,7.98,7.70,7.40,7.10,7.00,6.60,6.50,6.00,5.72,5.43
LUX,8.00,8.50,8.80,9.80,9.90,8.00,7.50,6.80,7.00,7.30,8.20,8.20
PRT,25.20,24.30,23.30,22.30,21.75,21.20,20.65,20.10,20.90,19.50,18.40,18.50
CHL,38.90,35.80,36.80,35.50,33.40,32.80,31.70,28.80,28.90,30.90,30.01,29.12
GRC,12.00,12.60,12.00,11.60,11.20,10.40,10.50,10.40,10.10,9.60,8.90,8.59
NZL,10.00,9.50,9.30,9.40,8.80,7.30,7.60,8.00,7.60,6.40,6.00,5.60
MEX,13.00,12.50,12.40,12.10,11.70,11.60,11.20,10.40,10.60,10.00,10.00,9.70
NLD,11.90,10.90,10.50,10.60,10.00,9.70,9.00,8.60,8.50,8.70,8.20,7.90
GBR,10.77,10.40,10.10,9.50,9.10,8.70,8.00,7.80,7.60,7.30,7.10,6.73
HUN,23.10,21.70,21.10,20.00,19.10,16.40,17.40,16.50,16.00,16.70,14.70,15.30
FRA,8.40,8.10,8.10,7.60,7.60,7.20,6.90,6.70,6.50,6.40,6.18,5.96
IRL,12.40,11.50,11.40,10.80,9.90,10.60,10.80,9.80,9.50,10.40,9.00,8.66
AUT,15.10,14.00,13.60,13.50,13.10,12.00,11.20,10.10,10.00,9.60,8.80,9.10
CHE,7.80,8.00,7.20,6.90,6.70,6.70,6.30,6.40,6.00,5.50,5.40,5.16
SWE,8.30,8.40,8.20,7.70,7.80,7.00,6.70,6.70,6.20,5.90,5.80,5.55
AUS,7.40,7.20,7.10,6.70,6.40,6.15,5.90,5.80,5.80,5.40,5.20,5.30
SVN,22.60,20.20,20.70,17.90,18.40,17.90,16.50,17.30,17.60,16.00,17.40,16.88
DNK,6.80,7.60,6.30,7.20,6.50,7.20,6.60,6.50,7.30,6.30,6.60,6.20
DEU,14.70,13.70,13.50,12.70,12.10,11.70,11.10,10.40,10.30,9.80,9.60,9.30
SVK,20.30,18.70,18.30,17.00,17.70,16.80,16.60,16.00,13.90,14.40,14.30,13.70
NOR,10.00,10.80,9.30,9.80,8.60,9.10,7.20,7.80,7.30,6.40,6.70,6.90
CZE,16.90,15.80,16.00,15.20,14.80,13.20,12.90,11.90,11.10,11.30,11.40,9.70
ITA,17.20,16.50,15.90,15.70,15.17,14.63,14.10,13.70,13.00,12.80,12.30,11.81
USA,5.30,5.00,4.90,4.80,4.60,4.40,4.20,4.20,4.00,3.80,3.80,3.65
JPN,35.80,34.20,32.60,31.90,31.60,30.30,29.50,28.70,27.70,26.90,26.20,25.40
