Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ITA,33.40,33.00,32.90,32.30,32.20,32.10,32.00,31.00,30.90,30.50,30.40,30.10
CAN,32.50,31.00,32.50,31.00,31.90,32.10,30.00,30.00,30.70,29.30,28.94,28.59
KOR,23.60,24.10,28.20,28.70,29.30,28.90,28.80,30.20,29.70,29.20,31.40,30.00
ISR,35.60,38.50,36.50,36.00,32.00,34.70,29.20,31.30,29.40,27.70,28.60,27.90
PRT,37.10,40.40,39.20,38.40,39.12,39.85,40.58,41.30,41.70,41.80,42.70,39.50
ESP,37.10,38.50,37.60,37.80,38.60,37.90,37.40,37.80,37.60,38.50,39.80,38.70
GRC,19.80,20.50,20.40,21.00,22.40,20.80,20.30,21.00,20.20,22.10,20.90,21.01
HUN,71.50,68.30,68.10,71.80,68.80,61.10,62.40,64.70,62.10,66.50,64.20,66.80
AUS,36.30,35.80,32.10,31.10,28.20,26.80,25.40,25.80,25.20,24.70,24.00,23.20
DEU,40.40,38.60,39.40,38.50,36.60,35.60,34.60,32.80,32.60,31.60,30.40,30.50
DNK,44.50,45.30,43.80,42.50,42.80,41.90,43.80,36.60,39.00,38.60,37.70,36.50
ISL,23.50,40.90,35.10,34.90,21.70,21.40,28.20,26.20,19.40,35.00,36.28,37.56
SVK,62.80,64.10,61.40,61.50,61.30,61.10,61.00,57.10,60.30,57.60,58.40,57.96
USA,29.20,28.10,27.60,26.60,25.00,24.30,23.90,23.60,22.30,21.70,21.50,20.73
AUT,41.60,40.10,40.60,41.10,37.90,36.80,35.60,32.40,33.20,31.00,28.70,29.60
EST,35.80,38.30,41.10,33.70,36.90,42.40,42.80,39.60,37.40,42.30,40.60,40.90
NLD,37.10,35.40,37.20,36.30,35.50,35.50,36.80,36.90,35.60,35.50,36.30,34.40
IRL,40.00,46.20,39.90,37.70,43.20,39.80,42.40,38.40,37.80,37.80,33.30,32.63
LUX,40.40,33.10,35.30,44.60,37.90,29.40,26.90,34.10,37.80,27.30,36.80,26.10
NZL,43.00,45.40,42.80,39.20,39.00,40.40,36.30,40.40,42.10,37.20,36.56,35.91
JPN,33.90,33.40,32.90,32.70,33.00,32.50,31.80,31.60,31.40,29.80,30.70,31.00
CHE,31.50,28.90,25.50,25.90,26.20,27.70,26.50,26.90,23.90,25.00,26.30,25.78
CZE,69.20,66.70,68.80,68.80,67.60,62.60,60.70,54.10,54.00,53.10,51.10,46.80
SVN,50.30,49.60,56.40,53.90,50.00,43.00,49.40,54.70,47.20,56.00,50.80,50.85
POL,36.90,38.10,38.60,38.50,38.80,38.50,39.40,40.90,41.30,40.90,41.20,40.40
MEX,7.30,7.10,6.80,7.10,7.40,8.00,7.80,7.70,8.50,8.00,8.20,8.29
BEL,32.40,32.13,31.87,31.60,32.00,33.50,31.90,31.50,31.70,30.00,29.73,29.47
CHL,15.80,16.90,15.80,17.70,17.30,18.20,18.00,17.60,18.10,18.40,18.69,18.98
NOR,41.10,42.50,43.30,39.50,41.40,35.70,38.10,35.40,36.40,35.80,35.70,34.80
FRA,34.40,34.40,34.00,33.40,33.50,32.50,31.40,30.70,31.20,30.40,29.96,29.51
GBR,34.00,33.50,33.30,32.70,32.50,32.00,30.90,30.10,30.50,29.40,29.00,28.50
SWE,28.40,29.60,29.10,29.70,27.50,28.70,28.60,27.10,27.90,27.60,26.40,26.20
FIN,24.10,25.40,23.60,24.70,23.60,22.30,24.20,23.40,22.30,22.10,23.40,20.80
