Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
DNK,2.60,2.80,3.20,2.40,1.90,4.00,3.30,3.80,4.50,2.60,2.70,2.40
EST,4.50,1.10,4.60,5.10,3.50,3.10,1.40,1.80,1.50,2.10,3.70,4.90
IRL,,,,,,,,3.40,4.40,3.60,4.60,
ITA,,,,3.90,,,2.90,2.40,2.90,2.90,2.70,
NLD,1.40,1.10,1.80,1.40,1.50,1.40,1.60,2.10,1.50,1.50,2.00,2.60
USA,3.60,3.70,3.50,3.70,3.70,3.90,4.00,4.10,4.10,3.90,3.90,
AUS,2.20,2.60,2.30,3.00,1.60,,2.20,2.00,2.20,2.40,1.90,2.80
AUT,,,2.10,1.90,1.70,1.20,2.80,1.60,1.20,1.40,1.30,1.50
BEL,,,,5.30,2.90,4.10,3.30,3.40,5.40,3.40,,
ISR,1.40,1.00,1.40,1.40,1.80,1.40,1.70,1.40,0.80,1.10,1.80,
KOR,0.10,0.30,1.10,1.80,1.70,1.10,1.30,1.30,1.30,0.90,0.90,1.00
SVK,2.20,2.20,3.10,4.30,3.60,2.30,4.10,4.70,3.00,3.20,1.80,
DEU,2.20,1.90,1.80,2.00,2.00,1.70,2.20,1.80,1.60,1.50,1.70,1.50
FIN,4.60,6.70,6.20,6.40,4.90,5.00,6.50,7.60,5.90,5.70,6.90,7.50
NOR,3.80,5.60,4.20,4.30,3.70,2.50,4.00,5.70,4.00,2.70,4.20,5.20
POL,3.40,3.60,3.10,3.20,3.20,3.10,2.80,2.90,2.30,2.70,2.70,2.50
CHE,3.80,3.70,3.20,2.70,1.90,2.70,2.20,3.10,2.30,2.90,3.60,
SWE,2.50,4.70,4.20,2.80,4.80,3.50,4.10,3.40,2.70,2.60,3.90,
HUN,3.70,3.30,2.80,2.60,3.10,3.00,2.40,3.70,2.60,2.70,3.60,3.80
ISL,1.10,1.10,0.00,2.30,1.10,3.30,5.40,16.80,14.40,14.50,,
MEX,1.20,1.20,1.20,1.20,1.40,1.70,1.50,1.40,1.90,1.60,1.40,
NZL,3.60,3.00,2.70,1.60,2.70,3.30,2.50,3.30,4.50,2.80,,
PRT,,,5.70,6.40,,,,4.10,4.90,3.30,2.60,2.20
SVN,1.80,1.10,2.50,0.90,2.60,0.80,0.10,2.20,1.00,1.50,0.90,
FRA,3.70,3.20,3.20,2.90,2.80,2.60,2.80,2.40,2.50,2.50,,
LUX,1.90,0.00,0.00,0.60,10.50,0.00,1.10,1.10,7.60,1.70,5.40,1.60
CAN,3.80,4.10,4.10,2.90,2.60,3.30,3.10,3.20,2.70,3.40,,
CHL,1.80,2.60,3.40,2.60,3.70,3.70,2.90,2.60,2.90,2.50,,
CZE,5.20,5.30,4.60,5.00,5.90,5.20,4.20,2.10,1.80,2.10,2.10,3.00
ESP,3.60,3.60,3.60,3.70,3.70,3.20,3.70,3.70,3.40,3.10,2.90,2.70
GBR,,2.80,2.80,2.70,2.70,2.60,2.80,2.60,3.00,2.70,2.60,
JPN,0.40,0.60,0.50,0.30,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.60
